Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
quick_sort,15,2000,100,24585.89,13512.20
dual_pivot_quick_sort,15,2000,100,24906.54,9719.92
hybrid_sort,15,2000,100,24877.56,13286.54
quick_sort,15,3000,100,39473.72,21417.21
dual_pivot_quick_sort,15,3000,100,39421.59,15288.85
hybrid_sort,15,3000,100,40233.51,21581.14
quick_sort,15,4000,100,55897.35,30183.36
dual_pivot_quick_sort,15,4000,100,54921.77,21261.86
hybrid_sort,15,4000,100,55766.34,29921.60
quick_sort,15,5000,100,71756.58,38260.45
dual_pivot_quick_sort,15,5000,100,71469.63,27835.07
hybrid_sort,15,5000,100,71259.25,38371.91
quick_sort,15,6000,100,87424.42,47219.70
dual_pivot_quick_sort,15,6000,100,87993.43,33958.47
hybrid_sort,15,6000,100,87550.76,46436.44
quick_sort,15,7000,100,103800.66,55331.77
dual_pivot_quick_sort,15,7000,100,104513.82,40518.71
hybrid_sort,15,7000,100,105451.70,56118.51
quick_sort,15,8000,100,121198.17,64336.22
dual_pivot_quick_sort,15,8000,100,121757.24,47553.39
hybrid_sort,15,8000,100,121845.34,64961.07
quick_sort,15,9000,100,138870.23,73426.28
dual_pivot_quick_sort,15,9000,100,139992.08,54401.18
hybrid_sort,15,9000,100,139773.61,73895.25
quick_sort,15,10000,100,153916.62,82431.11
dual_pivot_quick_sort,15,10000,100,156813.80,61698.38
hybrid_sort,15,10000,100,157802.12,83662.99
quick_sort,15,11000,100,173949.76,92326.27
dual_pivot_quick_sort,15,11000,100,174640.88,68419.15
hybrid_sort,15,11000,100,175589.94,93041.03
quick_sort,15,12000,100,191690.39,102767.35
dual_pivot_quick_sort,15,12000,100,191348.88,75323.34
hybrid_sort,15,12000,100,193082.32,101957.65
quick_sort,15,13000,100,209642.99,113384.40
dual_pivot_quick_sort,15,13000,100,209500.78,82019.73
hybrid_sort,15,13000,100,212343.00,112154.87
quick_sort,15,14000,100,228813.83,121551.75
dual_pivot_quick_sort,15,14000,100,227991.57,89057.88
hybrid_sort,15,14000,100,230766.24,122652.75
quick_sort,15,15000,100,245852.28,130797.10
dual_pivot_quick_sort,15,15000,100,244887.69,96470.61
hybrid_sort,15,15000,100,247861.97,130827.56
quick_sort,15,16000,100,262788.06,138339.34
dual_pivot_quick_sort,15,16000,100,264945.40,103576.17
hybrid_sort,15,16000,100,266383.26,140288.25
quick_sort,15,17000,100,283002.58,150624.76
dual_pivot_quick_sort,15,17000,100,284693.89,110157.93
hybrid_sort,15,17000,100,285608.42,149508.15
quick_sort,15,18000,100,301787.16,159391.88
dual_pivot_quick_sort,15,18000,100,303541.84,118726.98
hybrid_sort,15,18000,100,305329.74,161489.36
quick_sort,15,19000,100,319638.37,171453.19
dual_pivot_quick_sort,15,19000,100,320231.45,124558.39
hybrid_sort,15,19000,100,321833.46,169884.60
quick_sort,15,20000,100,337757.64,180282.35
dual_pivot_quick_sort,15,20000,100,339357.26,133462.72
hybrid_sort,15,20000,100,342054.09,181806.45
quick_sort,15,21000,100,359909.17,191429.90
dual_pivot_quick_sort,15,21000,100,358625.24,140775.42
hybrid_sort,15,21000,100,361252.80,190002.77
quick_sort,15,22000,100,377527.62,200961.65
dual_pivot_quick_sort,15,22000,100,381163.39,147637.69
hybrid_sort,15,22000,100,380585.70,199590.40
quick_sort,15,23000,100,396925.51,211410.35
dual_pivot_quick_sort,15,23000,100,397700.53,156764.65
hybrid_sort,15,23000,100,399462.96,209583.69
quick_sort,15,24000,100,416249.12,220967.08
dual_pivot_quick_sort,15,24000,100,419041.92,163899.66
hybrid_sort,15,24000,100,419918.16,221087.77
quick_sort,15,25000,100,435897.61,231669.10
dual_pivot_quick_sort,15,25000,100,437445.20,171335.03
hybrid_sort,15,25000,100,436690.66,230033.29
quick_sort,15,26000,100,456777.17,241585.46
dual_pivot_quick_sort,15,26000,100,456299.55,177066.46
hybrid_sort,15,26000,100,457743.34,239653.02
quick_sort,15,27000,100,473987.78,254180.46
dual_pivot_quick_sort,15,27000,100,475387.27,185871.67
hybrid_sort,15,27000,100,479279.03,251633.27
quick_sort,15,28000,100,494695.81,264438.53
dual_pivot_quick_sort,15,28000,100,496831.71,194056.51
hybrid_sort,15,28000,100,496742.68,258429.34
quick_sort,15,29000,100,517227.18,274882.94
dual_pivot_quick_sort,15,29000,100,517971.53,200723.13
hybrid_sort,15,29000,100,516620.63,271631.39
quick_sort,15,30000,100,534011.70,283773.96
dual_pivot_quick_sort,15,30000,100,534837.16,209188.16
hybrid_sort,15,30000,100,536655.25,280363.53
quick_sort,15,31000,100,552136.55,294332.08
dual_pivot_quick_sort,15,31000,100,555575.92,218695.84
hybrid_sort,15,31000,100,559242.66,291837.27
quick_sort,15,32000,100,571023.22,302545.08
dual_pivot_quick_sort,15,32000,100,577075.89,225996.35
hybrid_sort,15,32000,100,580212.77,305081.86
quick_sort,15,33000,100,594777.38,317941.73
dual_pivot_quick_sort,15,33000,100,594866.99,233378.93
hybrid_sort,15,33000,100,593792.45,309447.46
quick_sort,15,34000,100,612611.54,323004.99
dual_pivot_quick_sort,15,34000,100,610927.08,240718.81
hybrid_sort,15,34000,100,620954.83,324345.26
quick_sort,15,35000,100,628514.78,332678.76
dual_pivot_quick_sort,15,35000,100,638582.90,247981.86
hybrid_sort,15,35000,100,637644.00,338785.19
quick_sort,15,36000,100,653643.03,345892.22
dual_pivot_quick_sort,15,36000,100,656230.51,254389.53
hybrid_sort,15,36000,100,653983.06,343143.31
quick_sort,15,37000,100,669965.03,356916.03
dual_pivot_quick_sort,15,37000,100,676991.47,264308.89
hybrid_sort,15,37000,100,677214.73,357223.32
quick_sort,15,38000,100,700267.44,370414.12
dual_pivot_quick_sort,15,38000,100,698109.37,274010.15
hybrid_sort,15,38000,100,699847.40,369602.34
quick_sort,15,39000,100,714044.92,376669.19
dual_pivot_quick_sort,15,39000,100,716920.00,279496.68
hybrid_sort,15,39000,100,715890.85,377661.65
quick_sort,15,40000,100,730719.66,388276.20
dual_pivot_quick_sort,15,40000,100,733412.39,286820.98
hybrid_sort,15,40000,100,740667.91,389259.48
quick_sort,15,41000,100,756191.46,399728.10
dual_pivot_quick_sort,15,41000,100,756445.77,298707.45
hybrid_sort,15,41000,100,757118.23,396405.59
quick_sort,15,42000,100,777247.84,412094.46
dual_pivot_quick_sort,15,42000,100,773237.05,304764.28
hybrid_sort,15,42000,100,781622.32,413456.44
quick_sort,15,43000,100,797021.39,421851.01
dual_pivot_quick_sort,15,43000,100,803204.63,309829.90
hybrid_sort,15,43000,100,800702.98,416486.02
quick_sort,15,44000,100,817921.19,429709.80
dual_pivot_quick_sort,15,44000,100,820259.16,322069.65
hybrid_sort,15,44000,100,821017.17,431704.39
quick_sort,15,45000,100,837478.06,444407.65
dual_pivot_quick_sort,15,45000,100,843790.90,330666.30
hybrid_sort,15,45000,100,844130.66,440543.50
quick_sort,15,46000,100,858754.21,454295.99
dual_pivot_quick_sort,15,46000,100,860089.87,335379.59
hybrid_sort,15,46000,100,861747.03,450308.76
quick_sort,15,47000,100,874592.64,460963.67
dual_pivot_quick_sort,15,47000,100,885023.33,347590.14
hybrid_sort,15,47000,100,878540.02,458599.49
quick_sort,15,48000,100,899332.34,475664.16
dual_pivot_quick_sort,15,48000,100,896771.18,349252.30
hybrid_sort,15,48000,100,902326.27,472147.75
quick_sort,15,49000,100,917753.23,484553.05
dual_pivot_quick_sort,15,49000,100,921572.15,363430.05
hybrid_sort,15,49000,100,929060.15,484751.51
quick_sort,15,50000,100,934004.85,496511.03
dual_pivot_quick_sort,15,50000,100,943424.98,371063.75
hybrid_sort,15,50000,100,944905.76,497051.81
